# Temp/K vs atomic number,FeRh,a: 5.6767 a.u.,shift along with z-direction,,,,,,,,
temp(K) / Z,25,25.2,25.4,25.6,25.8,26,26.2,26.4,26.6,26.8,27
0,185.026,303.08,469.766,656.583,760.13,824.159,879.362,948.509,981.236,1003.298,997.922
300,271.735,263.941,443.547,663.198,829.339,943.611,1029.473,1100.013,1134.279,1143.949,1113.826
600,907.819,467.304,376.885,638.414,876.776,1042.207,1169.863,1268.771,1335.043,1352.984,1330.392
900,341.969,433.994,567.187,773.258,727.87,1125.979,1396.088,1611.51,1793.848,1613.051,1299.63
1800,187.535,341.802,355.099,458.393,524.997,587.26,676.514,784.037,881.164,942.283,961.465
2700,129.502,326.07,313.544,406.995,511.05,586.27,677.288,770.793,853.942,903.644,920.763
